-2026960962 0 0 0 0 0 0 0 0 0 
-1909129459 0 0 0 0 0 0 0 0 0 
-1854097254 2.4853 0 0.0605599 -0.919481 0 0 0 0 -0.343736 
-1852313321 0 0 0 0 0 0 0 0 0 
-1673615423 0 0 0 0 0 0 2.37968 2.46781 2.3514 
-1588044679 -0.51102 0 0 -0.0614777 0 0 0 0 1.26217 
-1410830267 0 0 0 0 2.40838 0 -0.290134 -0.919481 2.30175 
-1332571543 -0.51102 0 0 0 0 0 0 0 0.218818 
-1232096314 0 0 0 0 -0.658314 0 0 0 -0.139294 
-943389713 0 0 0 -0.884116 0 0 0 0 2.48554 
-934474527 0 0 0 0 0 2.38444 -0.0819739 -0.76142 2.31064 
-799462909 0 0 2.5 0 0 0 0 0 2.47981 
-499441974 0 0 0 0 0 0 0 0 0 
-412980975 0 0 0 0 0 0 0 0 0 
-159714043 0 2.48385 -0.165792 -0.833594 0 0 0 0 -0.252982 
-157867326 0 0 0 0 0 0 0 0 0 
46652963 0 0 0 0 0 0 0 -0.76142 2.39205 
161431130 0 0 0 0 2.35904 2.34446 -1.0012 -0.961566 -0.501953 
293361472 2.48388 2.48009 -0.999669 -0.973696 0 0 0 0 -0.501428 
395024170 0 0 0 0 0 0 0 0 0 
415337439 0 0 0 0 0 -0.19618 0 -0.658314 0.569979 
574700013 0 0 2.48141 2.49331 0 0 0 0 -0.884116 
587305719 0 0 0 0 0 0 0 0 0 
701081391 0 -0.319382 0 -0.658314 0 0 0 0 0.201096 
757290785 0 0 0 0 0 0 0 0 0 
1113999796 0 0 0 0 0 0 2.5 0 2.36344 
1300812649 0 0 0 0 0 0 0 0 0 
1632463223 0 0 0 0 0 0 0 0 0 
1705244050 0 0 0 0 0 0 0 0 0 
1927767620 0 0 0 0 -0.833594 0 0 -0.210301 0.193806 
